DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU7298	Basidiomycota(1)	Tremellomycetes(1)	Tremellales(1)	Tremellaceae(1)	Asterotremella(1)
OTU7299	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7300	Basidiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7301	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7302	Ascomycota(1)	Eurotiomycetes(1)	Verrucariales(1)	Verrucariaceae(1)	Verrucaria(1)
OTU7303	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7304	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7305	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7306	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7307	Ascomycota(1)	Dothideomycetes(1)	Pleosporales(1)	Unclassified(1)	Environmental(1)
OTU7308	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7309	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7310	Unclassified(1)	Unclassified(1)	Endogonales(1)	Endogonaceae(1)	Endogone(1)
OTU7311	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7312	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7313	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7314	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7315	Basidiomycota(1)	Tremellomycetes(1)	Tremellales(1)	Unclassified(1)	Asterotremella(1)
OTU7316	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7317	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7318	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7319	Unclassified(1)	Unclassified(1)	Mortierellales(1)	Mortierellaceae(1)	Mortierella(1)
OTU7320	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7321	Basidiomycota(1)	Tremellomycetes(1)	Tremellales(1)	Unclassified(1)	Cryptococcus(1)
OTU7322	Ascomycota(1)	Sordariomycetes(1)	Coniochaetales(1)	Coniochaetaceae(1)	Coniochaeta(1)
OTU7323	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7324	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7325	Basidiomycota(1)	Agaricomycetes(1)	Polyporales(1)	Unclassified(1)	Antrodiella(1)
OTU7326	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7327	Basidiomycota(1)	Agaricomycetes(1)	Polyporales(1)	Unclassified(1)	Hyphodermella(1)
OTU7328	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7329	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Unclassified(1)	Unclassified(1)
OTU7330	Ascomycota(1)	Sordariomycetes(1)	Glomerellales(1)	Plectosphaerellaceae(1)	Plectosphaerella(1)
OTU7331	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7332	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7333	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7334	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7335	Ascomycota(1)	Sordariomycetes(1)	Hypocreales(1)	Bionectriaceae(1)	Geosmithia(1)
OTU7336	Ascomycota(1)	Sordariomycetes(1)	Glomerellales(1)	Plectosphaerellaceae(1)	Plectosphaerella(1)
OTU7337	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7338	Neocallimastigomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7339	Ascomycota(1)	Sordariomycetes(1)	Microascales(1)	Ceratocystidaceae(1)	Ceratocystis(1)
OTU7340	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7341	Ascomycota(1)	Dothideomycetes(1)	Capnodiales(1)	Mycosphaerellaceae(1)	Mycosphaerella(1)
OTU7342	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7343	Chytridiomycota(1)	Chytridiomycetes(1)	Rhizophydiales(1)	Rhizophydiaceae(1)	Rhizophydium(1)
OTU7344	Ascomycota(1)	Dothideomycetes(1)	Capnodiales(1)	Davidiellaceae(1)	Cladosporium(1)
OTU7345	Ascomycota(1)	Sordariomycetes(1)	Glomerellales(1)	Plectosphaerellaceae(1)	Plectosphaerella(1)
OTU7346	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Unclassified(1)	Unclassified(1)
OTU7347	Basidiomycota(1)	Agaricomycetes(1)	Unclassified(1)	Unclassified(1)	Lepidostroma(1)
OTU7348	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7349	Ascomycota(1)	Sordariomycetes(1)	Glomerellales(1)	Plectosphaerellaceae(1)	Acremonium(1)
OTU7350	Ascomycota(1)	Sordariomycetes(1)	Calosphaeriales(1)	Calosphaeriaceae(1)	Phaeoacremonium(1)
